Locatrion_Code,Municipality,Name,Address,Hours of Operation,Tel_No,No_of_Connectors,Latitude,Longitude
CY*EAC*NIC-0005,Strovolos ,Stovolou - Kantaras Junction,"Leoforos Strovolou 144, 2025, Nicosia",24h,99596648,2,35.140799,33.337528
CY*EAC*NIC-0002,Nicosia,EAC Nicosia Area Office,"Foti Pitta Street 15, 1508 Nicosia",24h,99596648,2,35.164367,33.362053
CY*EAC*NIC-0003,Aglantzia,Kyrinias-Mpoumpoulinas Junction,Corner of Kyrinias Ave. And Bouboulinas Str.,24h,99596648,2,35.148981,33.389477
CY*EAC*NIC-0004,Engomi ,Lefkotheou - Papakyriakou Junction,"Lefkotheou Avenue, Engomi, Nicosia",24h,99596648,2,35.148033,33.316216
CY*EAC*NIC-0001,Strovolos ,EAC Head Office,"11 Amfipoleos Street, Strovolos, 2025, Nicosia",24h,99596648,2,35.138809,33.373362
CY*EAC*NIC-0006,Latsia,Latsia Municipality Bldg,"57 Giannou Kranidioti Avenue, Latsia, Nicosia",24h,99596648,2,35.107389,33.378194
CY*EAC*NIC-0007,Aglantzia,University of Cyprus Campus,"University of Cyprus Campus (North Entance Parking Area) 1, 2025, Nicosia",24h,99596648,2,35.146226,33.415333
CY*EAC*LIM-0003,Platres ,Michael Nicolaides Square ,"Olympou Street 1, Pano Platres, 2025, Limassol",24h,99596648,2,34.892158,32.867484
CY*EAC*LIM-0001,Limassol,Enaerios Parking Area,"Makariou III Avenue 1, 2501, Limassol",24h,99596648,2,34.684747,33.059271
CY*EAC*LIM-0002,Limassol,Epichosi Area,"Spyrou Araouzou 1, 2501 Limassol",24h,99596648,2,34.673417,33.045620
CY*EAC*LIM-0004,Ag. Athanasios,Agios Athanasios Municipality,"Ayios Athanasios 1, 2500 Limassol",24h,99596648,2,34.708582,33.050497
CY*EAC*LIM-0005,Parekklisia,Parking Area (Chesters),"194  Amathoundos Avenue, Parekklisia, 2500, Limassol",24h,99596648,2,34.714739,33.163145
CY*EAC*LIM-0006,Mesa Geitonia,Mesa Geitonia,"Archiepiskopou Makariou III Avenue 68, 4002 Mesa Geitonia",24h,99596648,2,34.699351,33.045221
CY*EAC*LIM-0008,Ypsonas,Ypsonas Municipality,"Archiepiskopou Makariou III 83, 4000 Ypsonas",24h,99596648,2,34.690813,32.955247
CY*EAC*LIM-0009,Limassol,Limassol Port,"Port Gate 1, 4041 Limassol",24h,99596648,2,34.658439,33.019888
CY*EAC*LAR-0001,Larnaca,Parking Area at Old Market Place,"Tasou Mitsopoulou Street 1, 6027 Larnaca",24h,99596648,2,34.897398,33.638181
CY*EAC*LAR-0003,Larnaca,Larnaca International Airport,"Larnaca International Airport, 7000, Larnaca",24h,99596648,2,34.871446,33.606871
CY*EAC*LAR-0002,Paralimni,Paralimni Amphitheatre,"Ayiou Georgiou Street 1, 5318 Paralimni",24h,99596648,2,35.040084,33.983864
CY*EAC*LAR-0004,Paralimni,Protaras CTO Office Parking Area,"14 Protaras Avenue, Paralimni, 5296, Ammochostos",24h,99596648,2,35.016806,34.049173
CY*EAC*PAF-0001,Paphos ,EAC Paphos Area Office,"87 Eleftheriou Venizelou Street, 8100, Paphos",24h,99596648,2,34.783821,32.443699
CY*EAC*PAF-0003,Paphos,Paphos International Airport,"Paphos Airport, Paphos 1, 8100 Paphos",24h,99596648,2,34.711270,32.489487
CY*EAC*PAF-0002,Polis Chrysohous,Polis CTO Offices Parking Area,"Grivas Digenis Street 1, 8100 Polis Chrysochous",24h,99596648,2,35.033782,32.425413
CY*EAC*LAR-0005,Aradippou,Aradippou Municipality,"Stadiou 8, 7103 Aradippou",24h,99596648,2,34.948633,33.586710
CY*EAC*NIC-0008,Strovolos ,Nicosia General Hospital,"Lemesou 1, 2025 Strovolos",24h,99596648,2,35.127697,33.37496193
CY*EAC*NIC-0009,Strovolos ,Public Works Department,"Strovolou 165, 2048 Nicosia",24h,99596648,2,35.139258,33.335275
CY*EAC*LIM-0011,Ypsonas,Ypsilanti Street (Eleon Park) Ypsonas,"Patriarxi Ierosolimon 1, 4191 Agios Sylas",24h,99596648,2,34.699545,32.967910
CY*EAC*NIC-0010,Alambra,Alambra Bus Station,"Pera Chorio 1, 2036 Nicosia",24h,99596648,2,35.002789,33.393304
CY*EAC*LIM-0012,Limassol,Salaminos Parking Area,"Salaminos 12a, 3036 Limassol",24h,99596648,2,34.676665,33.046582
CY*EAC*LAR-0006,Skarinou,Alpha Mega Skarinou,"A1 1, 4041 Skarinou",24h,99596648,2,34.817189,33.360348
CY*EAC*LAR-0007,Larnaca,EAC Larnaca Offices 1,"Georgiou Griva Digeni 95, 6043 Larnaca",24h,99596648,2,34.922674,33.611996
CY*EAC*LAR-0008,Larnaca,EAC Larnaca Offices 2,"Georgiou Griva Digeni 95, 6043 Larnaca",24h,99596648,2,34.922683,33.612004
