TSN,Suburb,Name,wgs84_lat,wgs84_lon
213110,Ashfield ,Park&Ride - Ashfield,-33.888083,151.126528
210020,Brookvale,Park&Ride - Brookvale,-33.767338,151.269624
2099207,Dee Why ,Park&Ride - Dee Why,-33.750278,151.286694
207210,Gordon,Park&Ride - Gordon Henry St (North),-33.757,151.154694
207210,Gordon,Park&Ride - Gordon Henry St (South),-33.757889,151.155306
253330,Kiama,Park&Ride - Kiama,-34.6729591,150.8545925
221710,Kogarah,Park&Ride - Kogarah,-33.963722,151.131944
2093117,Manly Vale ,Park&Ride - Manly Vale,-33.786521,151.267201
2103108,Mona Vale ,Park&Ride - Mona Vale,-33.677462,151.306499
2101130,Narrabeen,Park&Ride - Narrabeen,-33.714367,151.297185
221210,Revesby,Park&Ride - Revesby,-33.9508812,151.0157266
214710,Seven Hills ,Park&Ride - Seven Hills,-33.772995,150.936739
2101131,Warriewood,Park&Ride - Warriewood,-33.69588,151.302577
211420,West Ryde,Park&Ride - West Ryde,-33.806929,151.0910154
217933,Leppington,Park&Ride - Leppington,-33.9538437,150.8072019
217426,Edmondson Park,Park&Ride - Edmondson Park (South),-33.9693866,150.8553023
223210,Sutherland,Park&Ride - Sutherland East Parade,-34.0303157,151.0577642
225040,Gosford,Park&Ride - Gosford Showground Rd,-33.42476,151.340886
276010,St Marys,Park&Ride - St Marys Harris St,-33.761473,150.775748
256020,Campbelltown,Park&Ride - Campbelltown Hurley St,-34.06582,150.81242
256020,Campbelltown,Park&Ride - Campbelltown Farrow Rd (North),-34.06226,150.81527
275010,Penrith,Park&Ride - Penrith Combewood Av & Dunshea St,-33.74839,150.69508
