Address;LOT_OPERATOR;Geom;Geo Local Area
Beach Ave. @ Cardero St;Easy Park / Park Board;"{""coordinates"": [-123.142173, 49.283155], ""type"": ""Point""}";West End
1 Kingsway;Easypark;"{""coordinates"": [-123.1002054, 49.2641594], ""type"": ""Point""}";Mount Pleasant
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106578, 49.243665], ""type"": ""Point""}";Riley Park
845 Avison Way;Vancouver Aquarium;"{""coordinates"": [-123.13022, 49.299534], ""type"": ""Point""}";
273 E 53rd Ave;City of Vancouver;"{""coordinates"": [-123.100095218575, 49.222235022762], ""type"": ""Point""}";Sunset
3311 E. Hastings;City of Vancouver;"{""coordinates"": [-123.033786, 49.281369], ""type"": ""Point""}";Hastings-Sunrise
959-979 Mainland St;City of Vancouver;"{""coordinates"": [-123.119261061127, 49.2769232201811], ""type"": ""Point""}";Downtown
451 Beach Crescent;City of Vancouver;"{""coordinates"": [-123.12833, 49.272514], ""type"": ""Point""}";Downtown
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.09135336453, 49.229928611422], ""type"": ""Point""}";Sunset
Trillium Park;City of Vancouver;"{""coordinates"": [-123.09247, 49.2745], ""type"": ""Point""}";Strathcona
845 Avison Way;Vancouver Aquarium;"{""coordinates"": [-123.130229213422, 49.300472054096], ""type"": ""Point""}";
Beach Ave. @ Bute St;Easy Park / Park Board;"{""coordinates"": [-123.137209, 49.278736], ""type"": ""Point""}";West End
775 Hamilton St;Easypark;"{""coordinates"": [-123.115166014819, 49.2795168591257], ""type"": ""Point""}";Downtown
1 Kingsway;Easypark;"{""coordinates"": [-123.100173213491, 49.2641313946177], ""type"": ""Point""}";Mount Pleasant
272 E 53rd Ave;City of Vancouver;"{""coordinates"": [-123.10009, 49.222282], ""type"": ""Point""}";Sunset
1025 W 49th Ave;Telus / Retailer;"{""coordinates"": [-123.129085, 49.226886], ""type"": ""Point""}";Oakridge
959-979 Mainland St;City of Vancouver;"{""coordinates"": [-123.11887, 49.27684], ""type"": ""Point""}";Downtown
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11318, 49.261154], ""type"": ""Point""}";Mount Pleasant
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11318, 49.261093], ""type"": ""Point""}";Mount Pleasant
456 Beach Crescent;City of Vancouver;"{""coordinates"": [-123.12836, 49.272594], ""type"": ""Point""}";Downtown
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.091350766374, 49.229904302024], ""type"": ""Point""}";Sunset
480 Broughton Street;Coal Harbour Community Centre;"{""coordinates"": [-123.125786, 49.29024], ""type"": ""Point""}";Downtown
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106551, 49.243681], ""type"": ""Point""}";Riley Park
701 W. Georgia St.;Easy Park Lot;"{""coordinates"": [-123.1173, 49.283672], ""type"": ""Point""}";Downtown
Beach Ave. @ Broughton St;Easy Park / Park Board;"{""coordinates"": [-123.139793, 49.281483], ""type"": ""Point""}";West End
1305 Arbutus St;City of Vancouver;"{""coordinates"": [-123.152654, 49.273797], ""type"": ""Point""}";Kitsilano
4575 Clancy Loranger Way;Park Board;"{""coordinates"": [-123.106617, 49.243665], ""type"": ""Point""}";Riley Park
1100 Granville St;Best Western;"{""coordinates"": [-123.124668, 49.277692], ""type"": ""Point""}";Downtown
1001 Cotton Dr;Park Board;"{""coordinates"": [-123.071246, 49.276066], ""type"": ""Point""}";Grandview-Woodland
225 N Renfrew St;Pacific National Exhibition;"{""coordinates"": [-123.043494521322, 49.286384777239], ""type"": ""Point""}";Hastings-Sunrise
453 W. 12th Ave;City of Vancouver;"{""coordinates"": [-123.11374, 49.26122], ""type"": ""Point""}";Mount Pleasant
646 E. 44th Ave;City of Vancouver;"{""coordinates"": [-123.091360028172, 49.2297756397356], ""type"": ""Point""}";Sunset
Trillium Park;City of Vancouver;"{""coordinates"": [-123.09245, 49.274567], ""type"": ""Point""}";Strathcona
